"Inflation rate, average consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-0.2,35.7,226,85,22.6,7.8,12.7,33.2,20.6,0.4,0,3.1,5.2,2.4,2.9,2.4,2.4,3,3.3,2.2,3.6,3.4,2,1.9,1.6,1.9,1.3,2,2,1.4,1.6,2,6.7,4.8,4,3.2,3,3,3
Austria,6.3,6.8,5.4,3.3,5.7,3.2,1.7,1.4,1.9,2.2,2.8,3.1,3.4,3.2,2.7,1.6,1.8,1.2,0.8,0.5,2,2.3,1.7,1.3,2,2.1,1.7,2.2,3.2,0.4,1.7,3.5,2.6,2.1,1.5,0.8,1,2.2,2.1,1.5,1.4,2.8,8.6,7.8,3.7,2.5,2.1,2,2
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,83.5,970.3,1190.3,2220.9,709.3,52.7,63.8,73,293.7,168.6,61.1,42.6,28.4,18.1,10.3,7,8.4,14.8,13,7.7,53.2,59.2,18.3,18.1,13.5,11.8,6,4.9,5.6,5.5,9.5,15.2,4.7,5.7,4.2,5,5.4,5
Belgium,6.7,7.6,8.7,7.7,6.3,4.9,1.3,1.6,1.2,3.1,3.5,3.2,2.3,2.5,2.4,1.3,1.8,1.5,0.9,1.1,2.7,2.4,1.5,1.5,1.9,2.5,2.3,1.8,4.5,0,2.3,3.3,2.6,1.2,0.5,0.6,1.8,2.2,2.3,1.3,0.4,3.2,10.3,2.5,4.3,2.1,1.8,1.8,2
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.9,-11.7,5.7,-0.3,2.8,5,3.2,0.3,0.5,0.3,3.6,6.1,1.5,7.4,-0.4,2.1,4,2.1,-0.1,-0.9,-1,-1.6,0.8,1.4,0.6,-1.1,2,14,5.5,3,2.7,2.5,2,2
Bulgaria,0,0,2.8,2.8,2.8,2.8,2.7,2.7,2.5,6.4,23.9,333.5,82,72.8,96,62.1,123,1061.2,18.7,2.6,10.3,7.4,5.8,2.3,6.1,6,7.4,7.6,12,2.5,3,3.4,2.4,0.4,-1.6,-1.1,-1.3,1.2,2.6,2.5,1.2,2.8,13,8.5,3,2.1,2,2,2
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1518.5,97.5,2,3.6,3.7,6.7,4,4.6,4.3,2.5,2.4,2.1,3,3.3,2.7,5.8,2.2,1.1,2.2,3.4,2.3,0.2,-0.3,-0.6,1.3,1.6,0.8,0,2.7,10.7,8.6,4.2,2.5,2.2,2.2,2.1
Cyprus,13.5,10.7,6.4,5,6,5,1.2,2.7,3.4,3.8,4.5,5,6.5,4.9,4.7,2.6,2.6,3.3,2.3,1.1,4.9,2,2.8,4,1.9,2,2.3,2.2,4.4,0.2,2.6,3.5,3.1,0.4,-0.3,-1.5,-1.2,0.7,0.8,0.6,-1.1,2.2,8.1,3.5,2.4,2.2,2.1,2,2
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.8,8.6,10.7,2.1,3.8,4.7,1.9,0.1,2.8,1.9,2.5,2.9,6.4,1,1.5,1.9,3.3,1.4,0.3,0.3,0.7,2.5,2.1,2.8,3.2,3.8,15.1,10.9,4.6,2.1,2,2,2
Denmark,11.3,11.7,10.1,6.8,6.3,4.7,3.7,4,4.5,4.8,2.6,2.2,1.9,0.9,1.8,2,2.1,1.9,1.3,2,2.8,2.3,2.4,2,0.9,1.7,1.8,1.7,3.6,1,2.2,2.7,2.4,0.5,0.4,0.2,0,1.1,0.7,0.7,0.3,1.9,8.5,4.1,2.8,2.1,2.1,2,2
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.7,29,19.7,9.3,8.8,3.1,3.9,5.6,3.6,1.4,3,4.1,4.4,6.7,10.6,0.2,2.7,5.1,4.2,3.2,0.5,0.1,0.8,3.7,3.4,2.3,-0.6,4.5,19.4,10,3.8,3.2,2.8,2.5,2.5
Finland,11.6,12,9.3,8.4,7,5.8,2.9,4.1,5.1,6.6,5,4.5,3.3,3.3,1.6,0.4,1.1,1.2,1.3,1.3,3,2.7,2,1.3,0.1,0.8,1.3,1.6,3.9,1.6,1.7,3.3,3.2,2.2,1.2,-0.2,0.4,0.8,1.2,1.1,0.4,2.1,7.2,4.5,1.9,2,2,2,2
France,13.1,13.3,12,9.5,7.7,5.8,2.5,3.3,2.7,6.6,0.3,3.4,2.5,2.2,1.7,1.8,2.1,1.3,0.7,0.6,1.8,1.8,1.9,2.2,2.3,1.9,1.9,1.6,3.2,0.1,1.7,2.3,2.2,1,0.6,0.1,0.3,1.2,2.1,1.3,0.5,2.1,5.9,5.6,2.5,2,2,1.8,1.6
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.2,3.6,19.1,4,4.7,5.6,4.8,5.7,8.2,9.2,9.2,10,1.7,7.1,8.5,-0.9,-0.5,3.1,4,2.1,6,2.6,4.9,5.2,9.6,11.9,2.4,2.7,3,3,3,3
Germany,5.4,6.3,5.3,3.3,2.4,2.1,-0.1,0.2,1.3,2.8,2.7,3.5,5,4.5,2.7,1.7,1.3,1.5,0.6,0.6,1.4,1.9,1.3,1.1,1.8,1.9,1.8,2.3,2.8,0.2,1.1,2.5,2.2,1.6,0.8,0.7,0.4,1.7,1.9,1.4,0.4,3.2,8.7,6.3,3.5,2.2,2.1,2,2
Greece,24.9,24.5,21.1,20.2,18.5,19.3,23,16.4,13.5,13.7,20.4,19.5,15.9,14.4,10.9,8.8,7.9,5.4,4.5,2.1,2.9,3.6,3.9,3.4,3,3.5,3.3,3,4.2,1.3,4.7,3.1,1,-0.9,-1.4,-1.1,0,1.1,0.8,0.5,-1.3,0.6,9.3,4.1,2.8,2.2,2,1.9,1.9
Hungary,9.3,4.5,7,6.4,8.7,7,5.3,8.7,15.8,16.9,29,34.2,22.9,22.5,18.9,28.3,23.5,18.3,14.2,10,9.8,9.2,5.3,4.7,6.7,3.6,3.9,8,6.1,4.2,4.9,3.9,5.7,1.7,-0.2,-0.1,0.4,2.4,2.8,3.4,3.3,5.1,14.5,17.7,6.6,4.3,3.8,3.2,3.1
Iceland,58.5,50.9,51,84.3,29.2,32.4,21.3,18.8,25.5,14.5,15.5,6.8,4,4.1,1.6,1.7,2.3,1.8,1.7,3.2,5.1,6.4,5.2,2.1,3.2,4,6.7,5.1,12.7,12,5.4,4,5.2,3.9,2,1.6,1.7,1.8,2.7,3,2.8,4.5,8.3,8.6,4.5,3.6,2.6,2.5,2.5
Ireland,18.3,20.2,17.2,10.4,8.6,5.5,3,3.2,2.2,4,3.4,3.1,3.1,1.4,2.4,2.5,2.2,1.3,2.1,2.4,5.3,4,4.7,4,2.3,2.2,2.7,2.9,3.1,-1.7,-1.6,1.2,1.9,0.5,0.3,0,-0.2,0.3,0.7,0.9,-0.5,2.4,8.1,5.2,3,2.4,2,2,2
Italy,21.8,19.5,16.5,14.7,10.7,9,5.8,4.7,5.1,6.2,6.4,6.2,5,4.5,4.2,5.4,4,1.8,2,1.7,2.6,2.3,2.6,2.8,2.3,2.2,2.2,2,3.5,0.8,1.6,2.9,3.3,1.2,0.2,0.1,-0.1,1.3,1.2,0.6,-0.1,1.9,8.7,6,2.6,2.2,2,2,2
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.7,2.7,1.2,-1.1,-1.4,0.6,4.3,9.3,-2.4,3.5,7.3,2.5,1.8,0.4,-0.5,0.2,1.5,1.1,2.7,0.2,3.3,11.7,4.7,3.1,2.3,1.9,2,2
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.1,8.7,5.4,1.4,1.1,1.5,0.3,-1.1,1.2,2.7,3.8,5.8,11.1,4.2,1.2,4.1,3.2,1.2,0.2,-0.7,0.7,3.7,2.5,2.2,1.1,4.6,18.9,9.3,3.9,3,2.8,2.5,2.4
Luxembourg,6.3,8.1,9.4,8.7,5.6,4.1,0.3,-0.1,1.4,3.4,3.7,3.1,3.2,3.6,2.2,1.9,1.2,1.4,1,1,3.8,2.4,2.1,2.5,3.2,3.8,3,2.7,4.1,0,2.8,3.7,2.9,1.7,0.7,0.1,0,2.1,2,1.7,0,3.5,8.1,3.2,3.3,2.2,2,2,2
Malta,2.7,11.6,5.8,-0.9,-0.4,-0.2,2,0.4,0.9,0.9,3,2.6,1.8,4,4.1,4,2,3.9,3.7,2.3,3,2.5,2.6,1.9,2.7,2.5,2.6,0.7,4.7,1.8,2,2.5,3.2,1,0.8,1.2,0.9,1.3,1.7,1.5,0.8,0.7,6.1,5.8,3.1,2.2,2,2,2
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,788.5,329.6,30.2,23.5,11.8,7.7,39.3,31.2,9.6,5.2,11.7,12.4,11.9,12.7,12.4,12.7,0,7.4,7.6,4.6,4.6,5.1,9.6,6.4,6.5,3.6,4.8,3.8,5.1,28.6,13.3,5,5,5,5,5
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.9,23.7,19.7,7.5,3.1,3.4,2.1,3.4,9,3.6,0.4,3.5,4.1,2.2,-0.7,1.5,-0.3,2.4,2.6,0.4,-0.2,2.4,13,8.3,4.3,2.6,2.1,2,1.9
Netherlands,no data,6.8,5.9,2.9,3.4,2.3,0,-1,0.5,1.1,2.5,3.2,2.8,1.6,2.1,1.3,1.4,1.9,1.8,2,2.3,5.1,3.9,2.2,1.4,1.5,1.7,1.6,2.2,1,0.9,2.5,2.8,2.6,0.3,0.2,0.1,1.3,1.6,2.7,1.1,2.8,11.6,4,4.2,2.2,2,2,2
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,338.7,126.6,16.4,2.5,1.3,0.5,-1.3,6.6,5.2,1.1,0.9,-0.4,0.5,3.2,2.3,8.3,-0.7,1.5,3.9,3.3,2.8,-0.3,-0.3,-0.2,1.4,1.5,0.8,1.2,3.2,14.2,10,4.3,2.2,2,2,2
Norway,10.9,13.6,11.3,8.5,6.2,5.7,7.2,8.7,6.7,4.5,4.1,3.4,2.3,2.3,1.4,2.5,1.3,2.6,2.3,2.4,3.1,3,1.3,2.5,0.5,1.5,2.3,0.7,3.8,2.2,2.4,1.3,0.7,2.1,2,2.2,3.6,1.9,2.8,2.2,1.3,3.5,5.8,5.8,3.7,2.6,2,2,2
Poland,9.4,21.2,100.8,22.1,75.6,15.1,17.8,25.2,60.2,251.1,585.8,70.3,43,35.3,32.2,27.9,19.9,14.9,11.8,7.3,10.1,5.5,1.9,0.7,3.5,2.2,1.2,2.5,4.3,3.8,2.6,4.2,3.7,1.1,0.1,-0.9,-0.7,2,1.8,2.2,3.4,5.1,14.4,12,6.4,4.5,3.6,2.9,2.5
Portugal,5.9,21.2,22.7,25.1,29.3,19.3,11.7,9.4,9.6,12.6,13.4,11.4,8.9,5.9,5,4,2.9,1.9,2.2,2.2,2.8,4.4,3.7,3.2,2.5,2.1,3,2.4,2.7,-0.9,1.4,3.6,2.8,0.4,-0.2,0.5,0.6,1.6,1.2,0.3,-0.1,0.9,8.1,5.3,3.4,2.4,2.2,2,2
Romania,1.5,2.2,16.9,4.7,-0.3,-0.2,0.7,1.1,2.6,0.9,127.9,161.1,210.4,256.1,136.7,32.3,38.8,154.8,59.1,45.8,45.7,34.5,22.5,15.4,11.9,9,6.6,4.8,7.8,5.6,6.1,5.8,3.3,4,1.1,-0.6,-1.6,1.3,4.6,3.8,2.6,5,13.8,10.7,5.8,3.6,3.6,2.6,2.5
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,135.6,1569.1,874.3,307.5,197.3,47.8,14.8,27.7,85.7,20.8,21.5,15.8,13.7,10.9,12.7,9.7,9,14.1,11.6,6.8,8.4,5.1,6.8,7.8,15.5,7,3.7,2.9,4.5,3.4,6.7,13.8,5.3,6.3,4,4,4,4
Spain,15.6,14.5,14.4,12.2,11.3,8.8,8.8,5.2,4.8,6.8,6.7,5.9,7.1,4.6,4.7,4.7,3.6,1.9,1.8,2.2,3.5,2.8,3.6,3.1,3.1,3.4,3.6,2.8,4.1,-0.2,2,3,2.4,1.5,-0.2,-0.6,-0.3,2,1.7,0.8,-0.3,3,8.3,3.5,3.9,2.1,1.8,1.7,1.7
Sweden,17.5,12.1,8.6,8.9,8,7.4,4.2,4.2,5.8,6.4,10.5,8.8,1.4,4.7,2.9,2.5,1,1.8,1,0.6,1.3,2.7,1.9,2.3,1,0.8,1.5,1.7,3.3,1.9,1.9,1.4,0.9,0.4,0.2,0.7,1.1,1.9,2,1.7,0.7,2.7,8.1,6.9,3.6,2.7,2.3,2,2
Switzerland,4,6.5,5.7,3,2.9,3.4,0.7,1.4,1.9,3.2,5.4,5.9,4,3.3,0.9,1.8,0.8,0.5,0,0.8,1.6,1,0.6,0.6,0.8,1.2,1.1,0.7,2.4,-0.5,0.7,0.2,-0.7,-0.2,0,-1.1,-0.4,0.5,0.9,0.4,-0.7,0.6,2.8,2.2,2,1.7,1.5,1.5,1.5
"Türkiye, Republic of",110.6,36.4,31.1,31.3,48.4,44.5,34.6,38.9,73.7,63.3,60.3,66,70.1,66.1,104.5,89.6,80.2,85.7,84.7,64.9,55,54.2,45.1,25.3,8.6,8.2,9.6,8.8,10.4,6.3,8.6,6.5,8.9,7.5,8.9,7.7,7.8,11.1,16.3,15.2,12.3,19.6,72.3,51.2,62.5,52.5,48.1,39,37.4
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1210,4734.9,891.2,376.7,80.2,15.9,10.6,22.7,28.2,12,0.8,5.2,9,13.5,9.1,12.8,25.2,15.9,9.4,8,0.6,-0.3,12.1,48.7,13.9,14.4,10.9,7.9,2.7,9.4,20.2,17.7,13,8.6,6.7,5.5,5
Advanced economies,13.6,11,8.3,6,6.4,5.4,2.9,3.2,3.5,4.7,4.9,4.7,3.5,3.2,2.6,2.6,2.5,2.1,1.6,1.4,2.2,2.2,1.5,1.8,2,2.3,2.4,2.2,3.4,0.2,1.5,2.7,2,1.4,1.4,0.3,0.7,1.7,2,1.4,0.7,3.1,7.3,4.6,3,2.2,2,2,2
Emerging market and developing economies,26.1,23.2,26.4,29.4,31.6,32.5,30.8,39.5,56.3,65.2,77.3,42.9,112.5,113.5,86.9,38.7,19.9,13.1,13.4,13.3,8.6,7.9,6.5,6.5,6,6,5.9,6.5,9.3,5.1,5.6,7.1,5.8,5.5,4.7,4.8,4.4,4.5,4.9,5.1,5.2,5.9,9.8,8.5,7.8,6.2,5.7,5.2,5
World,17.4,15.1,14.3,13.5,14.1,13.8,11.9,14.7,19.7,22.9,26.3,17.1,38.6,39.2,31.2,16.1,9.4,6.6,6.4,6.2,4.9,4.6,3.7,3.9,3.8,4,4.1,4.3,6.4,2.7,3.7,5.1,4.1,3.6,3.2,2.7,2.7,3.2,3.6,3.5,3.2,4.7,8.7,6.9,5.8,4.6,4.2,3.9,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
