Data extracted on 16/02/2024 16:17:04 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Organic livestock [ORG_LSTSPEC];;;;;;;;;;;;;;;;;;;;;
Last updated: ;13/02/2024 11:00;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;
Live animals;;Dairy cows;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Head (animal);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 27 countries (from 2020);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 28 countries (2013-2020);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Belgium;13.049;;12.279;;12.955;;13.146;;16.551;;20.101;;21.520;;22.449;;24.308;;24.646;;:;
Bulgaria;328;;535;;789;;1.777;;2.906;;2.955;;2.405;;3.033;;2.689;;2.703;;2.946;
Czechia;7.080;;7.047;;7.402;;7.370;;6.913;;6.686;;7.125;;7.247;;7.292;;7.276;;6.919;
Denmark;65.057;;62.787;;63.261;;55.788;;58.129;;70.993;;78.972;;78.163;;78.796;;81.633;;80.271;
Germany;133.095;;141.800;;148.500;;150.283;;175.583;;203.958;;195.750;;226.912;;226.604;;240.630;e;260.543;e
Estonia;2.542;;2.322;;2.211;;1.938;;1.813;;1.743;;1.835;;1.835;;1.809;;1.852;;1.853;
Ireland;1.737;;1.945;;1.900;;2.163;;2.912;;2.560;;4.752;;5.408;;3.823;;4.656;;4.632;
Greece;3.790;;3.492;;3.160;;4.000;;3.990;;12.044;;14.351;;16.956;;18.734;;21.101;;:;
Spain;4.310;;3.303;;4.045;;4.556;;7.086;;8.394;;8.661;;10.413;;11.387;;12.954;;11.597;
France;95.429;;121.443;;140.097;;113.608;;120.112;;128.386;;145.649;;159.578;e;168.937;e;190.894;e;:;
Croatia;1.371;;2.185;;1.461;;1.717;;1.824;;2.565;;996;;364;;505;;289;;39;
Italy;41.799;;44.644;;53.181;;57.206;;75.754;;64.855;;80.547;;79.542;p;84.843;;81.117;;:;
Cyprus;0;;0;;0;;101;;281;;254;;401;;596;;536;;609;;635;
Latvia;11.132;;12.125;;19.772;;17.971;;19.420;;19.101;;18.517;;18.117;;17.603;;16.463;;:;
Lithuania;8.623;;9.970;;9.561;;9.363;;9.516;;14.706;;14.439;;14.153;;13.764;;13.542;;13.431;
Luxembourg;482;;591;;534;;508;;564;;596;;787;;717;;878;;894;;885;
Hungary;2.277;;2.288;;2.157;;2.744;;3.339;;3.272;;1.169;;1.200;;767;;1.532;;1.585;
Malta;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;:;
Netherlands;22.930;;24.462;;24.701;;25.385;;28.368;;31.883;;37.180;;37.902;;40.041;;41.631;;:;
Austria;94.591;;95.873;;96.829;;95.361;;106.735;;115.080;;115.424;;115.371;;116.441;;117.137;;120.722;
Poland;20.015;;18.841;;13.164;;11.106;;11.866;;11.377;;10.983;;10.983;;12.061;;12.143;;:;
Portugal;:;;:;;:;;:;;201;;51;;20;;2;;5.043;;4.689;;2.722;
Romania;:;;:;;:;;21.667;;15.171;;12.472;;12.561;;13.882;;12.837;;14.807;;:;
Slovenia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Slovakia;5.523;;5.296;;5.789;;6.394;;6.352;;4.544;;5.500;;5.759;;5.431;;5.822;e;:;
Finland;6.447;;6.290;;7.354;;8.438;;8.508;;9.207;;9.802;;10.024;;10.393;;10.529;;10.442;
Sweden;47.610;;48.193;;46.902;;47.652;;49.062;;52.908;;58.702;;56.744;;57.187;;57.298;;54.329;
Iceland;:;;:;;:;;:;;:;;114;;112;;125;;111;;203;;:;
Norway;9.097;;9.094;;8.226;;8.287;;8.350;;8.340;;8.353;;7.932;;7.781;;7.613;;7.364;
Switzerland;49.186;;50.406;;50.489;;50.658;;51.552;;55.356;;59.954;;60.650;;62.378;;62.947;;63.426;
United Kingdom;72.013;;70.135;;75.440;;76.638;;81.368;;77.059;;88.344;;89.839;;:;;:;;:;
Montenegro;:;;:;;:;;:;;10;;18;;22;;57;;43;;50;;56;
North Macedonia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Serbia;:;;0;;:;;2.182;;2.164;;2.004;;1.298;;1.233;;1.514;;:;;:;
TÃ¼rkiye;:;;31.760;;5.530;;3.505;;3.127;;2.383;;1.908;;:;;:;;7.905;;:;
;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;;;;;;;
p;provisional;;;;;;;;;;;;;;;;;;;;;